fecha,portafolio_total_mxn
2024-10-16,924189.95
2024-10-17,924146.53
2024-10-18,924103.11
2024-10-21,924059.69
2024-10-22,924016.28
2024-10-23,923972.87
2024-10-24,923929.46
2024-10-25,923886.05
2024-10-28,923842.65
2024-10-29,923799.24
2024-10-30,923755.84
2024-10-31,923712.44
2024-11-01,933668.58
2024-11-04,933624.71
2024-11-05,933580.85
2024-11-06,933536.99
2024-11-07,933493.13
2024-11-08,933449.27
2024-11-11,933405.42
2024-11-12,933361.57
2024-11-13,933317.71
2024-11-14,933273.87
2024-11-15,933230.02
2024-11-18,933186.18
2024-11-19,933142.33
2024-11-20,933098.49
2024-11-21,933054.66
2024-11-22,933010.82
2024-11-25,932966.99
2024-11-26,932923.15
2024-11-27,932879.32
2024-11-28,932835.50
2024-11-29,932791.67
2024-12-02,942747.38
2024-12-03,942703.09
2024-12-04,942658.80
2024-12-05,942614.51
2024-12-06,942570.22
2024-12-09,942525.94
2024-12-10,942481.66
2024-12-11,942437.38
2024-12-12,942393.10
2024-12-13,942348.83
2024-12-16,942304.56
2024-12-17,942260.29
2024-12-18,942216.02
2024-12-19,942171.75
2024-12-20,942127.49
2024-12-23,942083.22
2024-12-24,942038.96
2024-12-25,941994.71
2024-12-26,941950.45
2024-12-27,941906.20
2024-12-30,941861.94
2024-12-31,941817.69
2025-01-01,951772.98
2025-01-02,951728.26
2025-01-03,951683.55
2025-01-06,951638.84
2025-01-07,951594.13
2025-01-08,951549.42
2025-01-09,951504.72
2025-01-10,951460.01
2025-01-13,951415.31
2025-01-14,951370.61
2025-01-15,951325.92
2025-01-16,951281.22
2025-01-17,951236.53
2025-01-20,951191.84
2025-01-21,951147.15
2025-01-22,951102.47
2025-01-23,951057.78
2025-01-24,951013.10
2025-01-27,950968.42
2025-01-28,950923.74
2025-01-29,950879.07
2025-01-30,950834.39
2025-01-31,950789.72
2025-02-03,960744.58
2025-02-04,960699.45
2025-02-05,960654.31
2025-02-06,960609.18
2025-02-07,960564.05
2025-02-10,960518.92
2025-02-11,960473.79
2025-02-12,960428.67
2025-02-13,960383.55
2025-02-14,960338.43
2025-02-17,960293.31
2025-02-18,960248.19
2025-02-19,960203.08
2025-02-20,960157.97
2025-02-21,960112.86
2025-02-24,960067.75
2025-02-25,960022.65
2025-02-26,959977.54
2025-02-27,959932.44
2025-02-28,959887.34
2025-03-03,969841.78
2025-03-04,969796.21
2025-03-05,969750.65
2025-03-06,969705.09
2025-03-07,969659.53
2025-03-10,969613.98
2025-03-11,969568.42
2025-03-12,969522.87
2025-03-13,969477.32
2025-03-14,969431.78
2025-03-17,969386.23
2025-03-18,969340.69
2025-03-19,969295.15
2025-03-20,969249.61
2025-03-21,969204.07
2025-03-24,969158.54
2025-03-25,969113.01
2025-03-26,969067.48
2025-03-27,969021.95
2025-03-28,968976.42
2025-03-31,968930.90
2025-04-01,978884.91
2025-04-02,978838.92
2025-04-03,978792.93
2025-04-04,978746.95
2025-04-07,978700.96
2025-04-08,978654.98
2025-04-09,978609.00
2025-04-10,978563.03
2025-04-11,978517.05
2025-04-14,978471.08
2025-04-15,978425.11
2025-04-16,978379.15
2025-04-17,978333.18
2025-04-18,978287.22
2025-04-21,978241.26
2025-04-22,978195.30
2025-04-23,978149.34
2025-04-24,978103.39
2025-04-25,978057.43
2025-04-28,978011.48
2025-04-29,977965.53
2025-04-30,977919.59
2025-05-01,987873.17
2025-05-02,987826.76
2025-05-05,987780.35
2025-05-06,987733.95
2025-05-07,987687.54
2025-05-08,987641.14
2025-05-09,987594.74
2025-05-12,987548.34
2025-05-13,987501.94
2025-05-14,987455.55
2025-05-15,987409.16
2025-05-16,987362.77
2025-05-19,987316.38
2025-05-20,987270.00
2025-05-21,987223.61
2025-05-22,987177.23
2025-05-23,987130.85
2025-05-26,987084.48
2025-05-27,987038.10
2025-05-28,986991.73
2025-05-29,986945.36
2025-05-30,986898.99
2025-06-02,996852.16
2025-06-03,996805.32
2025-06-04,996758.49
2025-06-05,996711.66
2025-06-06,996664.84
2025-06-09,996618.01
2025-06-10,996571.19
2025-06-11,996524.37
2025-06-12,996477.55
