,cetes_mxn,e_E11_mxn,ml_LogisticRegression_mxn,ga_mxn
2022-05-19,648932.44,713056.34,877318.41,595141.43
2022-05-20,649112.23,712110.61,868979.86,595085.36
2022-05-23,649292.06,712380.81,867915.87,595029.29
2022-05-24,649471.95,709678.82,878483.53,594973.23
2022-05-25,649651.88,707517.23,892722.22,594917.18
2022-05-26,649831.86,701302.65,898768.85,594861.13
2022-05-27,650011.90,711029.81,893929.06,594805.09
2022-05-30,650191.98,709813.95,893125.51,594749.05
2022-05-31,650372.11,705085.44,881127.21,594693.02
2022-06-01,660565.07,708870.86,882830.67,604636.05
2022-06-02,660758.08,711843.05,869957.30,604579.09
2022-06-03,660951.15,700900.03,879853.04,604522.13
2022-06-06,661144.28,700089.43,869511.28,604465.18
2022-06-07,661337.46,700900.03,872939.47,604408.23
2022-06-08,661530.70,726298.66,886679.12,604351.29
2022-06-09,661723.99,714950.37,879404.37,604294.35
2022-06-10,661917.35,705358.34,878332.34,604237.42
2022-06-13,662110.75,689821.94,865124.34,604180.49
2022-06-14,662304.22,661586.18,859737.74,604123.57
2022-06-15,662497.74,679419.24,861197.19,604066.66
2022-06-16,662691.32,687660.34,856094.40,604009.75
2022-06-17,662884.95,749265.57,901715.27,603952.84
2022-06-20,663078.64,733053.63,898067.02,603895.94
2022-06-21,663272.39,712248.38,892391.85,603839.05
2022-06-22,663466.20,710627.19,880410.54,603782.16
2022-06-23,663660.06,708465.60,880194.02,603725.28
2022-06-24,663853.97,723191.41,883612.05,603668.40
2022-06-27,664047.95,740619.21,885416.15,603611.53
2022-06-28,664241.98,733053.63,897821.00,603554.66
2022-06-29,664436.07,724947.67,887338.99,603497.80
2022-06-30,664630.21,732513.24,888959.12,603440.94
2022-07-01,674839.50,735071.08,896541.29,613270.84
2022-07-04,675048.85,738309.87,900936.20,613100.78
2022-07-05,675258.26,739154.78,902880.20,612930.77
2022-07-06,675467.74,785061.53,922755.41,612760.81
2022-07-07,675677.29,782949.22,918968.78,612590.90
2022-07-08,675886.90,770979.69,916348.66,612421.03
2022-07-11,676096.57,781400.25,922845.44,612251.21
2022-07-12,676306.31,802663.81,923207.00,612081.44
2022-07-13,676516.12,809704.66,925504.56,611911.72
2022-07-14,676725.99,809282.24,933593.07,611742.04
2022-07-15,676935.93,809704.66,922738.86,611572.41
