fecha,portafolio_total_mxn
2024-10-25,1167785.06
2024-10-28,1168244.48
2024-10-29,1168704.09
2024-10-30,1169163.87
2024-10-31,1169623.84
2024-11-01,1180075.18
2024-11-04,1180526.70
2024-11-05,1180978.38
2024-11-06,1181430.24
2024-11-07,1181882.27
2024-11-08,1182334.48
2024-11-11,1182786.86
2024-11-12,1183239.41
2024-11-13,1183692.14
2024-11-14,1184145.03
2024-11-15,1184598.11
2024-11-18,1185051.35
2024-11-19,1185504.77
2024-11-20,1185958.36
2024-11-21,1186412.13
2024-11-22,1186866.06
2024-11-25,1187320.18
2024-11-26,1187774.46
2024-11-27,1188228.92
2024-11-28,1188683.56
2024-11-29,1189138.37
2024-12-02,1199591.98
2024-12-03,1200045.77
2024-12-04,1200499.73
2024-12-05,1200953.87
2024-12-06,1201408.17
2024-12-09,1201862.65
2024-12-10,1202317.30
2024-12-11,1202772.12
2024-12-12,1203227.11
2024-12-13,1203682.27
2024-12-16,1204137.61
2024-12-17,1204593.12
2024-12-18,1205048.80
2024-12-19,1205504.65
2024-12-20,1205960.68
2024-12-23,1206416.88
2024-12-24,1206873.25
2024-12-25,1207329.79
2024-12-26,1207786.51
2024-12-27,1208243.40
2024-12-30,1208700.46
2024-12-31,1209157.70
2025-01-01,1219607.88
2025-01-02,1220058.22
2025-01-03,1220508.73
2025-01-06,1220959.41
2025-01-07,1221410.26
2025-01-08,1221861.27
2025-01-09,1222312.44
2025-01-10,1222763.79
2025-01-13,1223215.30
2025-01-14,1223666.98
2025-01-15,1224118.82
2025-01-16,1224570.83
2025-01-17,1225023.01
2025-01-20,1225475.35
2025-01-21,1225927.87
2025-01-22,1226380.54
2025-01-23,1226833.39
2025-01-24,1227286.40
2025-01-27,1227739.58
2025-01-28,1228192.93
2025-01-29,1228646.45
2025-01-30,1229100.13
2025-01-31,1229553.98
2025-02-03,1240000.47
2025-02-04,1240447.12
2025-02-05,1240893.93
2025-02-06,1241340.90
2025-02-07,1241788.03
2025-02-10,1242235.33
2025-02-11,1242682.78
2025-02-12,1243130.40
2025-02-13,1243578.18
2025-02-14,1244026.11
2025-02-17,1244474.21
2025-02-18,1244922.47
2025-02-19,1245370.90
2025-02-20,1245819.48
2025-02-21,1246268.23
2025-02-24,1246717.13
2025-02-25,1247166.20
2025-02-26,1247615.43
2025-02-27,1248064.83
2025-02-28,1248514.38
2025-03-03,1258956.28
2025-03-04,1259398.33
2025-03-05,1259840.54
2025-03-06,1260282.91
2025-03-07,1260725.43
2025-03-10,1261168.10
2025-03-11,1261610.94
2025-03-12,1262053.92
2025-03-13,1262497.06
2025-03-14,1262940.36
2025-03-17,1263383.82
2025-03-18,1263827.42
2025-03-19,1264271.19
2025-03-20,1264715.11
2025-03-21,1265159.19
2025-03-24,1265603.42
2025-03-25,1266047.81
2025-03-26,1266492.35
2025-03-27,1266937.05
2025-03-28,1267381.91
2025-03-31,1267826.92
2025-04-01,1278263.98
2025-04-02,1278701.19
2025-04-03,1279138.55
2025-04-04,1279576.06
2025-04-07,1280013.72
2025-04-08,1280451.52
2025-04-09,1280889.48
2025-04-10,1281327.59
2025-04-11,1281765.84
2025-04-14,1282204.25
2025-04-15,1282642.81
2025-04-16,1283081.51
